REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select housing indicators,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448540,25.4.1.1,3389400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448540,25.4.1.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448540,25.4.1.1,3394800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448606,25.4.2.1,2519600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448606,25.4.2.1,2537600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448606,25.4.2.1,2468600,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448672,25.4.3.1,207300,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448672,25.4.3.1,211600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448672,25.4.3.1,227700,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448714,25.4.4.1,266600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448714,25.4.4.1,282500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448714,25.4.4.1,260400,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment or flat in a duplex,Number of households,Number,223,units,0,v1596448720,25.4.5.1,62900,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment or flat in a duplex,Number of households,Number,223,units,0,v1596448720,25.4.5.1,70600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment or flat in a duplex,Number of households,Number,223,units,0,v1596448720,25.4.5.1,70600,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has five or more storeys,Number of households,Number,223,units,0,v1596448726,25.4.6.1,185600,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has five or more storeys,Number of households,Number,223,units,0,v1596448726,25.4.6.1,195500,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has five or more storeys,Number of households,Number,223,units,0,v1596448726,25.4.6.1,212700,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has fewer than five storeys,Number of households,Number,223,units,0,v1596448732,25.4.7.1,91800,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has fewer than five storeys,Number of households,Number,223,units,0,v1596448732,25.4.7.1,101200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Apartment in a building that has fewer than five storeys,Number of households,Number,223,units,0,v1596448732,25.4.7.1,128100,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Other single-attached house,Number of households,Number,223,units,0,v1596448738,25.4.8.1,3800,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Other single-attached house,Number of households,Number,223,units,0,v1596448738,25.4.8.1,2700,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Other single-attached house,Number of households,Number,223,units,0,v1596448738,25.4.8.1,13800,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Movable dwelling,Number of households,Number,223,units,0,v1596448744,25.4.9.1,11000,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,Movable dwelling,Number of households,Number,223,units,0,v1596448744,25.4.9.1,5600,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,Movable dwelling,Number of households,Number,223,units,0,v1596448744,25.4.9.1,12900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, condominium status",Number of households,Number,223,units,0,v1596448546,25.4.10.1,3389400,,,,0
2021,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, condominium status",Number of households,Number,223,units,0,v1596448546,25.4.10.1,3407200,,,,0
2022,Ontario,2021A000235,Owner who is not a first-time homebuyer,"Total, condominium status",Number of households,Number,223,units,0,v1596448546,25.4.10.1,3394900,,,,0
2018,Ontario,2021A000235,Owner who is not a first-time homebuyer,Condominium,Number of households,Number,223,units,0,v1596448552,25.4.11.1,341300,,,,0
